method,arr_overall,far_overall,n,arr_commodity_not_covered,arr_out_of_domain_mixing,arr_province_not_in_corpus,arr_regulation_not_covered
llm_only,0.0,1.0,60,0.0,0.0,0.0,0.0
standard_rag,0.9833,0.0167,60,1.0,1.0,1.0,0.9333
hybrid_rag,0.8833,0.1167,60,0.9333,0.9333,0.8667,0.8
hyde_rag,0.95,0.05,60,0.9333,0.9333,1.0,0.9333
adaptive_rag,0.0333,0.9667,60,0.0,0.0,0.1333,0.0
crag,0.8,0.2,60,0.9333,0.6667,0.8,0.8
react,0.0833,0.9167,60,0.0,0.0,0.3333,0.0
selfrag,0.7833,0.2167,60,0.9333,0.8,0.6667,0.7333
flare,0.3667,0.6333,60,0.2667,0.2,0.5333,0.4667
ircot,0.1167,0.8833,60,0.1333,0.0,0.0667,0.2667
arda_sr,0.8667,0.1333,60,0.8,0.8667,0.9333,0.8667
